,Name,Grade,Moves,Holdsets,Id,holds,number_of_holds,lengths_of_moves
218,POST CAPTAIN,7B,"[{'Id': 1539969, 'Description': 'I5', 'IsStart': True, 'IsEnd': False}, {'Id': 1539970, 'Description': 'H9', 'IsStart': False, 'IsEnd': False}, {'Id': 1539971, 'Description': 'D10', 'IsStart': False, 'IsEnd': False}, {'Id': 1539972, 'Description': 'H14', 'IsStart': False, 'IsEnd': False}, {'Id': 1539973, 'Description': 'H18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}]",74696,"['I5', 'H9', 'D10', 'H14', 'H18']",5,"{'I5toI5': 0.0, 'I5toH9': 4.123105625617661, 'I5toD10': 7.0710678118654755, 'I5toH14': 9.055385138137417, 'I5toH18': 13.038404810405298, 'H9toI5': 4.123105625617661, 'H9toH9': 0.0, 'H9toD10': 4.123105625617661, 'H9toH14': 5.0, 'H9toH18': 9.0, 'D10toI5': 7.0710678118654755, 'D10toH9': 4.123105625617661, 'D10toD10': 0.0, 'D10toH14': 5.656854249492381, 'D10toH18': 8.94427190999916, 'H14toI5': 9.055385138137417, 'H14toH9': 5.0, 'H14toD10': 5.656854249492381, 'H14toH14': 0.0, 'H14toH18': 4.0, 'H18toI5': 13.038404810405298, 'H18toH9': 9.0, 'H18toD10': 8.94427190999916, 'H18toH14': 4.0, 'H18toH18': 0.0}"
219,RUNNIN,7B,"[{'Id': 2638016, 'Description': 'G4', 'IsStart': True, 'IsEnd': False}, {'Id': 2638017, 'Description': 'H7', 'IsStart': False, 'IsEnd': False}, {'Id': 2638018, 'Description': 'E10', 'IsStart': False, 'IsEnd': False}, {'Id': 2638019, 'Description': 'I14', 'IsStart': False, 'IsEnd': False}, {'Id': 2638020, 'Description': 'K18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",432745,"['G4', 'H7', 'E10', 'I14', 'K18']",5,"{'G4toG4': 0.0, 'G4toH7': 3.1622776601683795, 'G4toE10': 6.324555320336759, 'G4toI14': 10.198039027185569, 'G4toK18': 14.560219778561036, 'H7toG4': 3.1622776601683795, 'H7toH7': 0.0, 'H7toE10': 4.242640687119285, 'H7toI14': 7.0710678118654755, 'H7toK18': 11.40175425099138, 'E10toG4': 6.324555320336759, 'E10toH7': 4.242640687119285, 'E10toE10': 0.0, 'E10toI14': 5.656854249492381, 'E10toK18': 10.0, 'I14toG4': 10.198039027185569, 'I14toH7': 7.0710678118654755, 'I14toE10': 5.656854249492381, 'I14toI14': 0.0, 'I14toK18': 4.47213595499958, 'K18toG4': 14.560219778561036, 'K18toH7': 11.40175425099138, 'K18toE10': 10.0, 'K18toI14': 4.47213595499958, 'K18toK18': 0.0}"
220,SHRINE 4,7B,"[{'Id': 1710009, 'Description': 'C8', 'IsStart': False, 'IsEnd': False}, {'Id': 1710010, 'Description': 'F5', 'IsStart': True, 'IsEnd': False}, {'Id': 1710011, 'Description': 'G2', 'IsStart': True, 'IsEnd': False}, {'Id': 1710012, 'Description': 'G13', 'IsStart': False, 'IsEnd': False}, {'Id': 1710013, 'Description': 'G15', 'IsStart': False, 'IsEnd': False}, {'Id': 1710014, 'Description': 'K18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",70284,"['C8', 'F5', 'G2', 'G13', 'G15', 'K18']",6,"{'C8toC8': 0.0, 'C8toF5': 4.242640687119285, 'C8toG2': 7.211102550927978, 'C8toG13': 6.4031242374328485, 'C8toG15': 8.06225774829855, 'C8toK18': 12.806248474865697, 'F5toC8': 4.242640687119285, 'F5toF5': 0.0, 'F5toG2': 3.1622776601683795, 'F5toG13': 8.06225774829855, 'F5toG15': 10.04987562112089, 'F5toK18': 13.92838827718412, 'G2toC8': 7.211102550927978, 'G2toF5': 3.1622776601683795, 'G2toG2': 0.0, 'G2toG13': 11.0, 'G2toG15': 13.0, 'G2toK18': 16.492422502470642, 'G13toC8': 6.4031242374328485, 'G13toF5': 8.06225774829855, 'G13toG2': 11.0, 'G13toG13': 0.0, 'G13toG15': 2.0, 'G13toK18': 6.4031242374328485, 'G15toC8': 8.06225774829855, 'G15toF5': 10.04987562112089, 'G15toG2': 13.0, 'G15toG13': 2.0, 'G15toG15': 0.0, 'G15toK18': 5.0, 'K18toC8': 12.806248474865697, 'K18toF5': 13.92838827718412, 'K18toG2': 16.492422502470642, 'K18toG13': 6.4031242374328485, 'K18toG15': 5.0, 'K18toK18': 0.0}"
221,SLING BLADE RETURNS,7B,"[{'Id': 2122208, 'Description': 'G2', 'IsStart': True, 'IsEnd': False}, {'Id': 2122209, 'Description': 'D6', 'IsStart': True, 'IsEnd': False}, {'Id': 2122210, 'Description': 'D8', 'IsStart': False, 'IsEnd': False}, {'Id': 2122211, 'Description': 'E11', 'IsStart': False, 'IsEnd': False}, {'Id': 2122212, 'Description': 'H14', 'IsStart': False, 'IsEnd': False}, {'Id': 2122213, 'Description': 'G18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}]",368274,"['G2', 'D6', 'D8', 'E11', 'H14', 'G18']",6,"{'G2toG2': 0.0, 'G2toD6': 5.0, 'G2toD8': 6.708203932499369, 'G2toE11': 9.219544457292887, 'G2toH14': 12.041594578792296, 'G2toG18': 16.0, 'D6toG2': 5.0, 'D6toD6': 0.0, 'D6toD8': 2.0, 'D6toE11': 5.0990195135927845, 'D6toH14': 8.94427190999916, 'D6toG18': 12.36931687685298, 'D8toG2': 6.708203932499369, 'D8toD6': 2.0, 'D8toD8': 0.0, 'D8toE11': 3.1622776601683795, 'D8toH14': 7.211102550927978, 'D8toG18': 10.44030650891055, 'E11toG2': 9.219544457292887, 'E11toD6': 5.0990195135927845, 'E11toD8': 3.1622776601683795, 'E11toE11': 0.0, 'E11toH14': 4.242640687119285, 'E11toG18': 7.280109889280518, 'H14toG2': 12.041594578792296, 'H14toD6': 8.94427190999916, 'H14toD8': 7.211102550927978, 'H14toE11': 4.242640687119285, 'H14toH14': 0.0, 'H14toG18': 4.123105625617661, 'G18toG2': 16.0, 'G18toD6': 12.36931687685298, 'G18toD8': 10.44030650891055, 'G18toE11': 7.280109889280518, 'G18toH14': 4.123105625617661, 'G18toG18': 0.0}"
222,SO EASY,7B,"[{'Id': 1523932, 'Description': 'C5', 'IsStart': True, 'IsEnd': False}, {'Id': 1523933, 'Description': 'G9', 'IsStart': False, 'IsEnd': False}, {'Id': 1523934, 'Description': 'F13', 'IsStart': False, 'IsEnd': False}, {'Id': 1523935, 'Description': 'F15', 'IsStart': False, 'IsEnd': False}, {'Id': 1523936, 'Description': 'E18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",29598,"['C5', 'G9', 'F13', 'F15', 'E18']",5,"{'C5toC5': 0.0, 'C5toG9': 5.656854249492381, 'C5toF13': 8.54400374531753, 'C5toF15': 10.44030650891055, 'C5toE18': 13.152946437965905, 'G9toC5': 5.656854249492381, 'G9toG9': 0.0, 'G9toF13': 4.123105625617661, 'G9toF15': 6.082762530298219, 'G9toE18': 9.219544457292887, 'F13toC5': 8.54400374531753, 'F13toG9': 4.123105625617661, 'F13toF13': 0.0, 'F13toF15': 2.0, 'F13toE18': 5.0990195135927845, 'F15toC5': 10.44030650891055, 'F15toG9': 6.082762530298219, 'F15toF13': 2.0, 'F15toF15': 0.0, 'F15toE18': 3.1622776601683795, 'E18toC5': 13.152946437965905, 'E18toG9': 9.219544457292887, 'E18toF13': 5.0990195135927845, 'E18toF15': 3.1622776601683795, 'E18toE18': 0.0}"
223,SOULJACKER,7B,"[{'Id': 1846622, 'Description': 'A5', 'IsStart': False, 'IsEnd': False}, {'Id': 1846623, 'Description': 'C10', 'IsStart': False, 'IsEnd': False}, {'Id': 1846624, 'Description': 'E7', 'IsStart': False, 'IsEnd': False}, {'Id': 1846625, 'Description': 'F14', 'IsStart': False, 'IsEnd': False}, {'Id': 1846626, 'Description': 'F13', 'IsStart': False, 'IsEnd': False}, {'Id': 1846627, 'Description': 'F10', 'IsStart': False, 'IsEnd': False}, {'Id': 1846628, 'Description': 'I18', 'IsStart': False, 'IsEnd': True}, {'Id': 1846629, 'Description': 'K5', 'IsStart': True, 'IsEnd': False}]","[{'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",42911,"['A5', 'C10', 'E7', 'F14', 'F13', 'F10', 'I18', 'K5']",8,"{'A5toA5': 0.0, 'A5toC10': 5.385164807134504, 'A5toE7': 4.47213595499958, 'A5toF14': 10.295630140987, 'A5toF13': 9.433981132056603, 'A5toF10': 7.0710678118654755, 'A5toI18': 15.264337522473747, 'A5toK5': 10.0, 'C10toA5': 5.385164807134504, 'C10toC10': 0.0, 'C10toE7': 3.605551275463989, 'C10toF14': 5.0, 'C10toF13': 4.242640687119285, 'C10toF10': 3.0, 'C10toI18': 10.0, 'C10toK5': 9.433981132056603, 'E7toA5': 4.47213595499958, 'E7toC10': 3.605551275463989, 'E7toE7': 0.0, 'E7toF14': 7.0710678118654755, 'E7toF13': 6.082762530298219, 'E7toF10': 3.1622776601683795, 'E7toI18': 11.704699910719626, 'E7toK5': 6.324555320336759, 'F14toA5': 10.295630140987, 'F14toC10': 5.0, 'F14toE7': 7.0710678118654755, 'F14toF14': 0.0, 'F14toF13': 1.0, 'F14toF10': 4.0, 'F14toI18': 5.0, 'F14toK5': 10.295630140987, 'F13toA5': 9.433981132056603, 'F13toC10': 4.242640687119285, 'F13toE7': 6.082762530298219, 'F13toF14': 1.0, 'F13toF13': 0.0, 'F13toF10': 3.0, 'F13toI18': 5.830951894845301, 'F13toK5': 9.433981132056603, 'F10toA5': 7.0710678118654755, 'F10toC10': 3.0, 'F10toE7': 3.1622776601683795, 'F10toF14': 4.0, 'F10toF13': 3.0, 'F10toF10': 0.0, 'F10toI18': 8.54400374531753, 'F10toK5': 7.0710678118654755, 'I18toA5': 15.264337522473747, 'I18toC10': 10.0, 'I18toE7': 11.704699910719626, 'I18toF14': 5.0, 'I18toF13': 5.830951894845301, 'I18toF10': 8.54400374531753, 'I18toI18': 0.0, 'I18toK5': 13.152946437965905, 'K5toA5': 10.0, 'K5toC10': 9.433981132056603, 'K5toE7': 6.324555320336759, 'K5toF14': 10.295630140987, 'K5toF13': 9.433981132056603, 'K5toF10': 7.0710678118654755, 'K5toI18': 13.152946437965905, 'K5toK5': 0.0}"
224,SUPERSTAR FINISH,7B,"[{'Id': 1709946, 'Description': 'C10', 'IsStart': False, 'IsEnd': False}, {'Id': 1709947, 'Description': 'E7', 'IsStart': False, 'IsEnd': False}, {'Id': 1709948, 'Description': 'E18', 'IsStart': False, 'IsEnd': True}, {'Id': 1709949, 'Description': 'F13', 'IsStart': False, 'IsEnd': False}, {'Id': 1709950, 'Description': 'G4', 'IsStart': True, 'IsEnd': False}, {'Id': 1709951, 'Description': 'I9', 'IsStart': False, 'IsEnd': False}, {'Id': 1709952, 'Description': 'J16', 'IsStart': False, 'IsEnd': False}]","[{'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",19956,"['C10', 'E7', 'E18', 'F13', 'G4', 'I9', 'J16']",7,"{'C10toC10': 0.0, 'C10toE7': 3.605551275463989, 'C10toE18': 8.246211251235321, 'C10toF13': 4.242640687119285, 'C10toG4': 7.211102550927978, 'C10toI9': 6.082762530298219, 'C10toJ16': 9.219544457292887, 'E7toC10': 3.605551275463989, 'E7toE7': 0.0, 'E7toE18': 11.0, 'E7toF13': 6.082762530298219, 'E7toG4': 3.605551275463989, 'E7toI9': 4.47213595499958, 'E7toJ16': 10.295630140987, 'E18toC10': 8.246211251235321, 'E18toE7': 11.0, 'E18toE18': 0.0, 'E18toF13': 5.0990195135927845, 'E18toG4': 14.142135623730951, 'E18toI9': 9.848857801796104, 'E18toJ16': 5.385164807134504, 'F13toC10': 4.242640687119285, 'F13toE7': 6.082762530298219, 'F13toE18': 5.0990195135927845, 'F13toF13': 0.0, 'F13toG4': 9.055385138137417, 'F13toI9': 5.0, 'F13toJ16': 5.0, 'G4toC10': 7.211102550927978, 'G4toE7': 3.605551275463989, 'G4toE18': 14.142135623730951, 'G4toF13': 9.055385138137417, 'G4toG4': 0.0, 'G4toI9': 5.385164807134504, 'G4toJ16': 12.36931687685298, 'I9toC10': 6.082762530298219, 'I9toE7': 4.47213595499958, 'I9toE18': 9.848857801796104, 'I9toF13': 5.0, 'I9toG4': 5.385164807134504, 'I9toI9': 0.0, 'I9toJ16': 7.0710678118654755, 'J16toC10': 9.219544457292887, 'J16toE7': 10.295630140987, 'J16toE18': 5.385164807134504, 'J16toF13': 5.0, 'J16toG4': 12.36931687685298, 'J16toI9': 7.0710678118654755, 'J16toJ16': 0.0}"
225,THE CHOSEN FEW,7B,"[{'Id': 1845735, 'Description': 'B3', 'IsStart': True, 'IsEnd': False}, {'Id': 1845736, 'Description': 'C7', 'IsStart': False, 'IsEnd': False}, {'Id': 1845737, 'Description': 'G11', 'IsStart': False, 'IsEnd': False}, {'Id': 1845738, 'Description': 'C14', 'IsStart': False, 'IsEnd': False}, {'Id': 1845739, 'Description': 'E18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}]",333221,"['B3', 'C7', 'G11', 'C14', 'E18']",5,"{'B3toB3': 0.0, 'B3toC7': 4.123105625617661, 'B3toG11': 9.433981132056603, 'B3toC14': 11.045361017187261, 'B3toE18': 15.297058540778355, 'C7toB3': 4.123105625617661, 'C7toC7': 0.0, 'C7toG11': 5.656854249492381, 'C7toC14': 7.0, 'C7toE18': 11.180339887498949, 'G11toB3': 9.433981132056603, 'G11toC7': 5.656854249492381, 'G11toG11': 0.0, 'G11toC14': 5.0, 'G11toE18': 7.280109889280518, 'C14toB3': 11.045361017187261, 'C14toC7': 7.0, 'C14toG11': 5.0, 'C14toC14': 0.0, 'C14toE18': 4.47213595499958, 'E18toB3': 15.297058540778355, 'E18toC7': 11.180339887498949, 'E18toG11': 7.280109889280518, 'E18toC14': 4.47213595499958, 'E18toE18': 0.0}"
226,THE DECEIVERS,7B,"[{'Id': 1576860, 'Description': 'C5', 'IsStart': True, 'IsEnd': False}, {'Id': 1576861, 'Description': 'D5', 'IsStart': True, 'IsEnd': False}, {'Id': 1576862, 'Description': 'H8', 'IsStart': False, 'IsEnd': False}, {'Id': 1576863, 'Description': 'F7', 'IsStart': False, 'IsEnd': False}, {'Id': 1576864, 'Description': 'E12', 'IsStart': False, 'IsEnd': False}, {'Id': 1576865, 'Description': 'I14', 'IsStart': False, 'IsEnd': False}, {'Id': 1576866, 'Description': 'E18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",185959,"['C5', 'D5', 'H8', 'F7', 'E12', 'I14', 'E18']",7,"{'C5toC5': 0.0, 'C5toD5': 1.0, 'C5toH8': 5.830951894845301, 'C5toF7': 3.605551275463989, 'C5toE12': 7.280109889280518, 'C5toI14': 10.816653826391969, 'C5toE18': 13.152946437965905, 'D5toC5': 1.0, 'D5toD5': 0.0, 'D5toH8': 5.0, 'D5toF7': 2.8284271247461903, 'D5toE12': 7.0710678118654755, 'D5toI14': 10.295630140987, 'D5toE18': 13.038404810405298, 'H8toC5': 5.830951894845301, 'H8toD5': 5.0, 'H8toH8': 0.0, 'H8toF7': 2.23606797749979, 'H8toE12': 5.0, 'H8toI14': 6.082762530298219, 'H8toE18': 10.44030650891055, 'F7toC5': 3.605551275463989, 'F7toD5': 2.8284271247461903, 'F7toH8': 2.23606797749979, 'F7toF7': 0.0, 'F7toE12': 5.0990195135927845, 'F7toI14': 7.615773105863909, 'F7toE18': 11.045361017187261, 'E12toC5': 7.280109889280518, 'E12toD5': 7.0710678118654755, 'E12toH8': 5.0, 'E12toF7': 5.0990195135927845, 'E12toE12': 0.0, 'E12toI14': 4.47213595499958, 'E12toE18': 6.0, 'I14toC5': 10.816653826391969, 'I14toD5': 10.295630140987, 'I14toH8': 6.082762530298219, 'I14toF7': 7.615773105863909, 'I14toE12': 4.47213595499958, 'I14toI14': 0.0, 'I14toE18': 5.656854249492381, 'E18toC5': 13.152946437965905, 'E18toD5': 13.038404810405298, 'E18toH8': 10.44030650891055, 'E18toF7': 11.045361017187261, 'E18toE12': 6.0, 'E18toI14': 5.656854249492381, 'E18toE18': 0.0}"
227,THE MICE ARE MEN,7B,"[{'Id': 1838759, 'Description': 'D3', 'IsStart': True, 'IsEnd': False}, {'Id': 1838760, 'Description': 'D6', 'IsStart': True, 'IsEnd': False}, {'Id': 1838761, 'Description': 'H9', 'IsStart': False, 'IsEnd': False}, {'Id': 1838762, 'Description': 'G11', 'IsStart': False, 'IsEnd': False}, {'Id': 1838763, 'Description': 'H14', 'IsStart': False, 'IsEnd': False}, {'Id': 1838764, 'Description': 'C15', 'IsStart': False, 'IsEnd': False}, {'Id': 1838765, 'Description': 'C18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}]",332448,"['D3', 'D6', 'H9', 'G11', 'H14', 'C15', 'C18']",7,"{'D3toD3': 0.0, 'D3toD6': 3.0, 'D3toH9': 7.211102550927978, 'D3toG11': 8.54400374531753, 'D3toH14': 11.704699910719626, 'D3toC15': 12.041594578792296, 'D3toC18': 15.033296378372908, 'D6toD3': 3.0, 'D6toD6': 0.0, 'D6toH9': 5.0, 'D6toG11': 5.830951894845301, 'D6toH14': 8.94427190999916, 'D6toC15': 9.055385138137417, 'D6toC18': 12.041594578792296, 'H9toD3': 7.211102550927978, 'H9toD6': 5.0, 'H9toH9': 0.0, 'H9toG11': 2.23606797749979, 'H9toH14': 5.0, 'H9toC15': 7.810249675906654, 'H9toC18': 10.295630140987, 'G11toD3': 8.54400374531753, 'G11toD6': 5.830951894845301, 'G11toH9': 2.23606797749979, 'G11toG11': 0.0, 'G11toH14': 3.1622776601683795, 'G11toC15': 5.656854249492381, 'G11toC18': 8.06225774829855, 'H14toD3': 11.704699910719626, 'H14toD6': 8.94427190999916, 'H14toH9': 5.0, 'H14toG11': 3.1622776601683795, 'H14toH14': 0.0, 'H14toC15': 5.0990195135927845, 'H14toC18': 6.4031242374328485, 'C15toD3': 12.041594578792296, 'C15toD6': 9.055385138137417, 'C15toH9': 7.810249675906654, 'C15toG11': 5.656854249492381, 'C15toH14': 5.0990195135927845, 'C15toC15': 0.0, 'C15toC18': 3.0, 'C18toD3': 15.033296378372908, 'C18toD6': 12.041594578792296, 'C18toH9': 10.295630140987, 'C18toG11': 8.06225774829855, 'C18toH14': 6.4031242374328485, 'C18toC15': 3.0, 'C18toC18': 0.0}"
228,TO WARMER WATERS,7B,"[{'Id': 1698135, 'Description': 'A9', 'IsStart': False, 'IsEnd': False}, {'Id': 1698136, 'Description': 'B18', 'IsStart': False, 'IsEnd': True}, {'Id': 1698137, 'Description': 'B12', 'IsStart': False, 'IsEnd': False}, {'Id': 1698138, 'Description': 'D15', 'IsStart': False, 'IsEnd': False}, {'Id': 1698139, 'Description': 'D6', 'IsStart': True, 'IsEnd': False}, {'Id': 1698140, 'Description': 'E8', 'IsStart': False, 'IsEnd': False}, {'Id': 1698141, 'Description': 'G4', 'IsStart': True, 'IsEnd': False}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",84177,"['A9', 'B18', 'B12', 'D15', 'D6', 'E8', 'G4']",7,"{'A9toA9': 0.0, 'A9toB18': 9.055385138137417, 'A9toB12': 3.1622776601683795, 'A9toD15': 6.708203932499369, 'A9toD6': 4.242640687119285, 'A9toE8': 4.123105625617661, 'A9toG4': 7.810249675906654, 'B18toA9': 9.055385138137417, 'B18toB18': 0.0, 'B18toB12': 6.0, 'B18toD15': 3.605551275463989, 'B18toD6': 12.165525060596439, 'B18toE8': 10.44030650891055, 'B18toG4': 14.866068747318506, 'B12toA9': 3.1622776601683795, 'B12toB18': 6.0, 'B12toB12': 0.0, 'B12toD15': 3.605551275463989, 'B12toD6': 6.324555320336759, 'B12toE8': 5.0, 'B12toG4': 9.433981132056603, 'D15toA9': 6.708203932499369, 'D15toB18': 3.605551275463989, 'D15toB12': 3.605551275463989, 'D15toD15': 0.0, 'D15toD6': 9.0, 'D15toE8': 7.0710678118654755, 'D15toG4': 11.40175425099138, 'D6toA9': 4.242640687119285, 'D6toB18': 12.165525060596439, 'D6toB12': 6.324555320336759, 'D6toD15': 9.0, 'D6toD6': 0.0, 'D6toE8': 2.23606797749979, 'D6toG4': 3.605551275463989, 'E8toA9': 4.123105625617661, 'E8toB18': 10.44030650891055, 'E8toB12': 5.0, 'E8toD15': 7.0710678118654755, 'E8toD6': 2.23606797749979, 'E8toE8': 0.0, 'E8toG4': 4.47213595499958, 'G4toA9': 7.810249675906654, 'G4toB18': 14.866068747318506, 'G4toB12': 9.433981132056603, 'G4toD15': 11.40175425099138, 'G4toD6': 3.605551275463989, 'G4toE8': 4.47213595499958, 'G4toG4': 0.0}"
229,TROODON REPOSING,7B,"[{'Id': 1695392, 'Description': 'B9', 'IsStart': False, 'IsEnd': False}, {'Id': 1695393, 'Description': 'B8', 'IsStart': False, 'IsEnd': False}, {'Id': 1695394, 'Description': 'B3', 'IsStart': True, 'IsEnd': False}, {'Id': 1695395, 'Description': 'C11', 'IsStart': False, 'IsEnd': False}, {'Id': 1695396, 'Description': 'D18', 'IsStart': False, 'IsEnd': True}, {'Id': 1695397, 'Description': 'G2', 'IsStart': True, 'IsEnd': False}, {'Id': 1695398, 'Description': 'G17', 'IsStart': False, 'IsEnd': False}, {'Id': 1695399, 'Description': 'H16', 'IsStart': False, 'IsEnd': False}, {'Id': 1695400, 'Description': 'H11', 'IsStart': False, 'IsEnd': False}, {'Id': 1695401, 'Description': 'I13', 'IsStart': False, 'IsEnd': False}, {'Id': 1695402, 'Description': 'K7', 'IsStart': False, 'IsEnd': False}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",31140,"['B9', 'B8', 'B3', 'C11', 'D18', 'G2', 'G17', 'H16', 'H11', 'I13', 'K7']",11,"{'B9toB9': 0.0, 'B9toB8': 1.0, 'B9toB3': 6.0, 'B9toC11': 2.23606797749979, 'B9toD18': 9.219544457292887, 'B9toG2': 8.602325267042627, 'B9toG17': 9.433981132056603, 'B9toH16': 9.219544457292887, 'B9toH11': 6.324555320336759, 'B9toI13': 8.06225774829855, 'B9toK7': 9.219544457292887, 'B8toB9': 1.0, 'B8toB8': 0.0, 'B8toB3': 5.0, 'B8toC11': 3.1622776601683795, 'B8toD18': 10.198039027185569, 'B8toG2': 7.810249675906654, 'B8toG17': 10.295630140987, 'B8toH16': 10.0, 'B8toH11': 6.708203932499369, 'B8toI13': 8.602325267042627, 'B8toK7': 9.055385138137417, 'B3toB9': 6.0, 'B3toB8': 5.0, 'B3toB3': 0.0, 'B3toC11': 8.06225774829855, 'B3toD18': 15.132745950421556, 'B3toG2': 5.0990195135927845, 'B3toG17': 14.866068747318506, 'B3toH16': 14.317821063276353, 'B3toH11': 10.0, 'B3toI13': 12.206555615733702, 'B3toK7': 9.848857801796104, 'C11toB9': 2.23606797749979, 'C11toB8': 3.1622776601683795, 'C11toB3': 8.06225774829855, 'C11toC11': 0.0, 'C11toD18': 7.0710678118654755, 'C11toG2': 9.848857801796104, 'C11toG17': 7.211102550927978, 'C11toH16': 7.0710678118654755, 'C11toH11': 5.0, 'C11toI13': 6.324555320336759, 'C11toK7': 8.94427190999916, 'D18toB9': 9.219544457292887, 'D18toB8': 10.198039027185569, 'D18toB3': 15.132745950421556, 'D18toC11': 7.0710678118654755, 'D18toD18': 0.0, 'D18toG2': 16.278820596099706, 'D18toG17': 3.1622776601683795, 'D18toH16': 4.47213595499958, 'D18toH11': 8.06225774829855, 'D18toI13': 7.0710678118654755, 'D18toK7': 13.038404810405298, 'G2toB9': 8.602325267042627, 'G2toB8': 7.810249675906654, 'G2toB3': 5.0990195135927845, 'G2toC11': 9.848857801796104, 'G2toD18': 16.278820596099706, 'G2toG2': 0.0, 'G2toG17': 15.0, 'G2toH16': 14.035668847618199, 'G2toH11': 9.055385138137417, 'G2toI13': 11.180339887498949, 'G2toK7': 6.4031242374328485, 'G17toB9': 9.433981132056603, 'G17toB8': 10.295630140987, 'G17toB3': 14.866068747318506, 'G17toC11': 7.211102550927978, 'G17toD18': 3.1622776601683795, 'G17toG2': 15.0, 'G17toG17': 0.0, 'G17toH16': 1.4142135623730951, 'G17toH11': 6.082762530298219, 'G17toI13': 4.47213595499958, 'G17toK7': 10.770329614269007, 'H16toB9': 9.219544457292887, 'H16toB8': 10.0, 'H16toB3': 14.317821063276353, 'H16toC11': 7.0710678118654755, 'H16toD18': 4.47213595499958, 'H16toG2': 14.035668847618199, 'H16toG17': 1.4142135623730951, 'H16toH16': 0.0, 'H16toH11': 5.0, 'H16toI13': 3.1622776601683795, 'H16toK7': 9.486832980505138, 'H11toB9': 6.324555320336759, 'H11toB8': 6.708203932499369, 'H11toB3': 10.0, 'H11toC11': 5.0, 'H11toD18': 8.06225774829855, 'H11toG2': 9.055385138137417, 'H11toG17': 6.082762530298219, 'H11toH16': 5.0, 'H11toH11': 0.0, 'H11toI13': 2.23606797749979, 'H11toK7': 5.0, 'I13toB9': 8.06225774829855, 'I13toB8': 8.602325267042627, 'I13toB3': 12.206555615733702, 'I13toC11': 6.324555320336759, 'I13toD18': 7.0710678118654755, 'I13toG2': 11.180339887498949, 'I13toG17': 4.47213595499958, 'I13toH16': 3.1622776601683795, 'I13toH11': 2.23606797749979, 'I13toI13': 0.0, 'I13toK7': 6.324555320336759, 'K7toB9': 9.219544457292887, 'K7toB8': 9.055385138137417, 'K7toB3': 9.848857801796104, 'K7toC11': 8.94427190999916, 'K7toD18': 13.038404810405298, 'K7toG2': 6.4031242374328485, 'K7toG17': 10.770329614269007, 'K7toH16': 9.486832980505138, 'K7toH11': 5.0, 'K7toI13': 6.324555320336759, 'K7toK7': 0.0}"
